"NPS","Comentario","Insight","Categoria"
"6","El asesor de banca privada tiene buenos conocimientos de mercados y fiscalidad. Las reuniones son productivas aunque a veces me parece que intenta vender productos de la propia gestora del banco antes que opciones de terceros. En general el asesoramiento es de calidad.","Buen asesoramiento en banca privada con posible sesgo hacia productos propios","Personal"
"4","La hipoteca variable me está destrozando con la subida del Euríbor. Cuando la contraté me explicaron muy poco los riesgos de la variabilidad. No me ofrecieron alternativa fija ni me informaron de la posibilidad de novación. Me siento desinformado en el momento más importante de mi vida financiera.","Falta de información sobre riesgo de hipoteca variable al momento de la contratación","Productos"
"3","El trato que recibí en la oficina fue condescendiente y poco profesional. El empleado me habló como si no entendiese nada de finanzas y respondió con impaciencia cuando pregunté. Me fui sintiéndome un cliente de segunda. Inaceptable en un banco que dice valorar a sus clientes.","Trato condescendiente e irrespetuoso por parte de empleado de sucursal","Personal"
"4","Los cajeros funcionan correctamente para las operaciones básicas. Sin embargo algunos modelos más antiguos tienen la pantalla muy deteriorada y es difícil leer. Para ingresar efectivo solo funcionan uno de los cuatro cajeros de mi oficina habitual. Podría mejorarse la inversión en mantenimiento.","Funcionamiento básico de cajeros con deterioro en equipos más antiguos","Canales"
"3","El tipo de interés del crédito al consumo es del 16% TAE para un cliente sin incidencias. La competencia ofrece la mitad. Cuando lo intenté negociar me dijeron que era tarifa fija sin excepciones. Para financiación de consumo este banco no es una opción válida.","Tipo de interés en crédito al consumo muy elevado sin posibilidad de negociación","Pricing"
"2","La cuenta de ahorro ofrece un 0.01% de interés anual. Con la inflación actual eso significa perder poder adquisitivo cada año. Hay opciones en el mercado que ofrecen 3% sin vinculación alguna. Mantener dinero aquí es claramente la peor decisión financiera posible para el ahorro.","Rentabilidad de cuenta ahorro muy por debajo de alternativas del mercado","Productos"
"10","El programa de puntos de la tarjeta es muy generoso: tres puntos por cada euro gastado y se pueden canjear por viajes, electrodomésticos o descuentos en compras. Ya he canjeado veinte mil puntos este año. Sin fecha de caducidad de los puntos. Un programa de fidelización bien diseñado.","Satisfacción con programa de puntos generoso y sin caducidad","Productos"
"10","Todas las comisiones del banco están perfectamente detalladas en un documento de tarifas fácil de encontrar en la web. Sin letra pequeña ni condiciones ocultas. Cuando pregunto me explican el coste exacto antes de hacer cualquier operación. Una transparencia en precios que se agradece.","Alta transparencia en comunicación de tarifas y precios antes de operar","Pricing"
"9","El préstamo personal se resolvió en menos de 48 horas desde la solicitud online. Las condiciones eran exactamente las del simulador. Sin seguros vinculados obligatorios y con posibilidad de amortización anticipada sin coste. Para una urgencia económica es la solución perfecta.","Préstamo personal aprobado en tiempo récord sin condiciones abusivas","Productos"
"8","Contraté un renting de coche a través del banco y el proceso fue muy sencillo. La cuota mensual incluye seguro, mantenimiento y cambio de neumáticos. Sin sorpresas ni costes adicionales. Para alguien que no quiere preocuparse por el coche es una solución cómoda y predecible.","Satisfacción con producto de renting de vehículo integrado con banco","Productos"
